"ID"	"goose20"	"goose22"	"goose37"	"goose42"	"goose44"
"fpt1"	0	0	0	0.01	0
"fpt2"	0.01	0.03	0.01	0.01	0.01
"fpt3"	0.01	0.03	0.01	0.01	0.01
"fpt4"	0.01	0.04	0.16	0.14	0.14
"fpt5"	0.01	0.04	0.19	0.16	0.14
"fpt6"	53.21	54.43	57.15	53.34	51.95
"fpt7"	3.19	1.61	2.52	2.97	1.12
"fpt8"	0.01	8.74	1.89	0.7	1.3
"fpt9"	0.01	0.03	0.01	0.01	0.01
"fpt10"	0.04	15.66	3.79	1.24	2.46
"fpt11"	0.57	7.04	2.26	0.99	1.13
"fpt12"	0.59	17.23	4.72	1.84	2.86
"fpt13"	0.57	7.04	2.26	0.99	1.13
"fpt14"	10.09	28.89	20.09	13.78	5.48
"fpt15"	0.01	0.03	0.01	0.01	0.01
"fpt16"	0.01	10.21	2.53	0.94	1.74
"fpt17"	0.01	0.03	0.01	0.01	0.01
"fpt18"	0.01	0.03	0.01	0.01	0.01
"fpt19"	0.04	0.1	0.06	0.14	0.51
"fpt20"	56.38	56.01	59.67	56.3	53.04
"fpt21"	53.19	54.4	57.15	53.33	51.92
